comp__id,comp,circle_id,circle,div_id,division,subdiv_id,subdivision,pss_id,pss
N,NBPDCL,NC01,BEGUSARAI,ND001,BARAUNI,NSD0001,BACHHWARA,NP00001,BACHHWARA
N,NBPDCL,NC01,BEGUSARAI,ND001,BARAUNI,NSD0001,BACHHWARA,NP00002,CHAMTHA
N,NBPDCL,NC01,BEGUSARAI,ND001,BARAUNI,NSD0001,BACHHWARA,NP00003,BHARAUL
N,NBPDCL,NC01,BEGUSARAI,ND001,BARAUNI,NSD0001,BACHHWARA,NP00004,MANSOORCHAK
N,NBPDCL,NC01,BEGUSARAI,ND001,BARAUNI,NSD0001,BACHHWARA,NP00005,TEGHRA
N,NBPDCL,NC01,BEGUSARAI,ND001,BARAUNI,NSD0001,BACHHWARA,NP00006,BANWARIPUR
N,NBPDCL,NC01,BEGUSARAI,ND001,BARAUNI,NSD0002,BARAUNI,NP00007,SIMARIYA
N,NBPDCL,NC01,BEGUSARAI,ND001,BARAUNI,NSD0002,BARAUNI,NP00008,BHAGWANPUR
N,NBPDCL,NC01,BEGUSARAI,ND001,BARAUNI,NSD0002,BARAUNI,NP00009,BAGHRAHADIH
N,NBPDCL,NC01,BEGUSARAI,ND001,BARAUNI,NSD0002,BARAUNI,NP00010,MINAPUR
N,NBPDCL,NC01,BEGUSARAI,ND001,BARAUNI,NSD0002,BARAUNI,NP00011,ZERO MILE
N,NBPDCL,NC01,BEGUSARAI,ND001,BARAUNI,NSD0002,BARAUNI,NP00012,BIRPUR
N,NBPDCL,NC01,BEGUSARAI,ND001,BARAUNI,NSD0002,BARAUNI,NP00013,CHAKIYA (BTPS)
N,NBPDCL,NC01,BEGUSARAI,ND001,BARAUNI,NSD0002,BARAUNI,NP00014,DEONA
N,NBPDCL,NC01,BEGUSARAI,ND002,BEGUSARAI,NSD0003,BALIA,NP00015,BALIA
N,NBPDCL,NC01,BEGUSARAI,ND002,BEGUSARAI,NSD0003,BALIA,NP00016,DANDARI (MOHANPUR)
N,NBPDCL,NC01,BEGUSARAI,ND002,BEGUSARAI,NSD0003,BALIA,NP00017,SAHEBPUR KAMAL
N,NBPDCL,NC01,BEGUSARAI,ND002,BEGUSARAI,NSD0004,BEGUSARAI,NP00018,POWER HOUSE
N,NBPDCL,NC01,BEGUSARAI,ND002,BEGUSARAI,NSD0004,BEGUSARAI,NP00019,CIRCUIT HOUSE
N,NBPDCL,NC01,BEGUSARAI,ND002,BEGUSARAI,NSD0004,BEGUSARAI,NP00020,BABHANGAMA
N,NBPDCL,NC01,BEGUSARAI,ND002,BEGUSARAI,NSD0004,BEGUSARAI,NP00021,LAKHO
N,NBPDCL,NC01,BEGUSARAI,ND002,BEGUSARAI,NSD0004,BEGUSARAI,NP00022,MATIHANIBGS
N,NBPDCL,NC01,BEGUSARAI,ND002,BEGUSARAI,NSD0005,MANJHAUL,NP00023,BAKHRI
N,NBPDCL,NC01,BEGUSARAI,ND002,BEGUSARAI,NSD0005,MANJHAUL,NP00024,CHAKHAMID
N,NBPDCL,NC01,BEGUSARAI,ND002,BEGUSARAI,NSD0005,MANJHAUL,NP00025,CHAURAHI
N,NBPDCL,NC01,BEGUSARAI,ND002,BEGUSARAI,NSD0005,MANJHAUL,NP00026,GADHPURA
N,NBPDCL,NC01,BEGUSARAI,ND002,BEGUSARAI,NSD0005,MANJHAUL,NP00027,KHODAWANPUR
N,NBPDCL,NC01,BEGUSARAI,ND002,BEGUSARAI,NSD0005,MANJHAUL,NP00028,MANJHAUL
N,NBPDCL,NC01,BEGUSARAI,ND002,BEGUSARAI,NSD0005,MANJHAUL,NP00029,NAWKOTHI
N,NBPDCL,NC01,BEGUSARAI,ND003,KHAGARIA,NSD0006,GOGRI,NP00030,SAKROHAR
N,NBPDCL,NC01,BEGUSARAI,ND003,KHAGARIA,NSD0006,GOGRI,NP00031,MAHESHKHUNT
N,NBPDCL,NC01,BEGUSARAI,ND003,KHAGARIA,NSD0006,GOGRI,NP00032,PAIKANT
N,NBPDCL,NC01,BEGUSARAI,ND003,KHAGARIA,NSD0006,GOGRI,NP00033,SIRNIA
N,NBPDCL,NC01,BEGUSARAI,ND003,KHAGARIA,NSD0006,GOGRI,NP00034,BHARATKHAND
N,NBPDCL,NC01,BEGUSARAI,ND003,KHAGARIA,NSD0006,GOGRI,NP00035,JHANJHRA
N,NBPDCL,NC01,BEGUSARAI,ND003,KHAGARIA,NSD0006,GOGRI,NP00036,PARBATTA (KARNA)
N,NBPDCL,NC01,BEGUSARAI,ND003,KHAGARIA,NSD0007,KHAGARIYA (R),NP00037,ALOULI
N,NBPDCL,NC01,BEGUSARAI,ND003,KHAGARIA,NSD0007,KHAGARIYA (R),NP00038,DUTAULI(MALPA)
N,NBPDCL,NC01,BEGUSARAI,ND003,KHAGARIA,NSD0007,KHAGARIYA (R),NP00039,CHAUTHAM
N,NBPDCL,NC01,BEGUSARAI,ND003,KHAGARIA,NSD0007,KHAGARIYA (R),NP00040,HARIPUR
N,NBPDCL,NC01,BEGUSARAI,ND003,KHAGARIA,NSD0007,KHAGARIYA (R),NP00041,BACHHOUTA
N,NBPDCL,NC01,BEGUSARAI,ND003,KHAGARIA,NSD0007,KHAGARIYA (R),NP00042,OLAPUR 1
N,NBPDCL,NC01,BEGUSARAI,ND003,KHAGARIA,NSD0007,KHAGARIYA (R),NP00043,MANSI
N,NBPDCL,NC01,BEGUSARAI,ND003,KHAGARIA,NSD0007,KHAGARIYA (R),NP00044,PANSALWA (BELDAUR)
N,NBPDCL,NC01,BEGUSARAI,ND003,KHAGARIA,NSD0008,KHAGARIYA (U),NP00045,KHAGARIA
N,NBPDCL,NC02,CHAPRA,ND004,CHAPRA EAST,NSD0009,MARHAURAH,NP00046,AMNOUR
N,NBPDCL,NC02,CHAPRA,ND004,CHAPRA EAST,NSD0009,MARHAURAH,NP00047,ISHUAPUR
N,NBPDCL,NC02,CHAPRA,ND004,CHAPRA EAST,NSD0009,MARHAURAH,NP00048,MARHAURAH
N,NBPDCL,NC02,CHAPRA,ND004,CHAPRA EAST,NSD0009,MARHAURAH,NP00049,POJHI KAPUR
N,NBPDCL,NC02,CHAPRA,ND004,CHAPRA EAST,NSD0009,MARHAURAH,NP00050,NAYAGAON
N,NBPDCL,NC02,CHAPRA,ND004,CHAPRA EAST,NSD0009,MARHAURAH,NP00051,MASRAKH
N,NBPDCL,NC02,CHAPRA,ND004,CHAPRA EAST,NSD0009,MARHAURAH,NP00052,PANAPUR
N,NBPDCL,NC02,CHAPRA,ND004,CHAPRA EAST,NSD0009,MARHAURAH,NP00053,TARAIYA
N,NBPDCL,NC02,CHAPRA,ND004,CHAPRA EAST,NSD0009,MARHAURAH,NP00054,USARI BAZAR
N,NBPDCL,NC02,CHAPRA,ND004,CHAPRA EAST,NSD0010,SHEETALPUR,NP00055,AKILPUR
N,NBPDCL,NC02,CHAPRA,ND004,CHAPRA EAST,NSD0010,SHEETALPUR,NP00056,DERNI
N,NBPDCL,NC02,CHAPRA,ND004,CHAPRA EAST,NSD0011,SONPUR,NP00057,DARIYAPUR
N,NBPDCL,NC02,CHAPRA,ND004,CHAPRA EAST,NSD0011,SONPUR,NP00058,DIGHWARA
N,NBPDCL,NC02,CHAPRA,ND004,CHAPRA EAST,NSD0011,SONPUR,NP00059,JAITIYA
N,NBPDCL,NC02,CHAPRA,ND004,CHAPRA EAST,NSD0011,SONPUR,NP00060,MAKER
N,NBPDCL,NC02,CHAPRA,ND004,CHAPRA EAST,NSD0011,SONPUR,NP00061,BHELDI
N,NBPDCL,NC02,CHAPRA,ND004,CHAPRA EAST,NSD0011,SONPUR,NP00062,PARSA
N,NBPDCL,NC02,CHAPRA,ND004,CHAPRA EAST,NSD0011,SONPUR,NP00063,SITALPUR
